country,country_code,year,energy_source,class,issuance_irec,issuance_tigrs,issuance_ecogox,issuance_lgc,issuance_go,issuance_go_expire,issuance_go_cancel,issuance_ext,issuance_total,certified_mix,total_generation,residual_mix,total_co2,emission_factor,sources,methodology,issuance
Afghanistan,AFG,2020,Coal,Fossil,,,,,,,,,,,0.02,0.02,20.0,1000.0,EMBERS,GO,
Afghanistan,AFG,2020,Hydro,RES,,,,,,,,,,,0.99,0.99,20.0,20.2020202020202,EMBERS,GO,
Afghanistan,AFG,2020,Other (F),Fossil,,,,,,,,,,,0.1,0.1,70.0,700.0,EMBERS,GO,
Afghanistan,AFG,2020,Solar,RES,,,,,,,,,,,0.07,0.07,0.0,0.0,EMBERS,GO,
Afghanistan,AFG,2021,Coal,Fossil,,,,,,,,,,,0.03,0.03,30.0,1000.0,EMBERS,GO,
Afghanistan,AFG,2021,Hydro,RES,,,,,,,,,,,0.85,0.85,20.0,23.529411764705884,EMBERS,GO,
Afghanistan,AFG,2021,Other (F),Fossil,,,,,,,,,,,0.1,0.1,70.0,700.0,EMBERS,GO,
Afghanistan,AFG,2021,Solar,RES,,,,,,,,,,,0.08,0.08,0.0,0.0,EMBERS,GO,
Afghanistan,AFG,2022,Coal,Fossil,,,,,,,,,,,0.03,0.03,30.0,1000.0,EMBERS,GO,
Afghanistan,AFG,2022,Hydro,RES,,,,,,,,,,,0.74,0.74,20.0,27.027027027027028,EMBERS,GO,
Afghanistan,AFG,2022,Other (F),Fossil,,,,,,,,,,,0.1,0.1,70.0,700.0,EMBERS,GO,
Afghanistan,AFG,2022,Solar,RES,,,,,,,,,,,0.09,0.09,0.0,0.0,EMBERS,GO,
Afghanistan,AFG,2023,Coal,Fossil,,,,,,,,,,,0.03,0.03,30.0,1000.0,EMBERS,GO,
Afghanistan,AFG,2023,Hydro,RES,,,,,,,,,,,0.75,0.75,20.0,26.666666666666668,EMBERS,GO,
Afghanistan,AFG,2023,Other (F),Fossil,,,,,,,,,,,0.1,0.1,70.0,700.0,EMBERS,GO,
Afghanistan,AFG,2023,Solar,RES,,,,,,,,,,,0.09,0.09,0.0,0.0,EMBERS,GO,
Albania,ALB,2020,Hydro,RES,,,,,,,,,,,5.28,5.28,130.0,24.62121212121212,EMBERS,GO,
Albania,ALB,2020,Solar,RES,,,,,,,,,,,0.03,0.03,0.0,0.0,EMBERS,GO,
Albania,ALB,2021,Hydro,RES,,,,,,,,,,,8.9,8.9,210.0,23.595505617977526,EMBERS,GO,
Albania,ALB,2021,Solar,RES,,,,,,,,,,,0.04,0.04,0.0,0.0,EMBERS,GO,
Albania,ALB,2022,Hydro,RES,,,,,,,,,,,6.81,6.81,160.0,23.494860499265787,EMBERS,GO,
Albania,ALB,2022,Solar,RES,,,,,,,,,,,0.16,0.16,10.0,62.5,EMBERS,GO,
Albania,ALB,2023,Hydro,RES,,,,,,,,,,,8.71,8.71,210.0,24.110218140068884,EMBERS,GO,
Albania,ALB,2023,Solar,RES,,,,,,,,,,,0.3,0.3,10.0,33.333333333333336,EMBERS,GO,
Algeria,DZA,2020,Gas,Fossil,,,,,,,,,,,78.13,78.13,49930.0,639.0630999616025,EMBERS,GO,
Algeria,DZA,2020,Hydro,RES,,,,,,,,,,,0.05,0.05,0.0,0.0,EMBERS,GO,
Algeria,DZA,2020,Other (F),Fossil,,,,,,,,,,,0.36,0.36,240.0,666.6666666666667,EMBERS,GO,
Algeria,DZA,2020,Solar,RES,,,,,,,,,,,0.82,0.82,40.0,48.78048780487805,EMBERS,GO,
Algeria,DZA,2020,Wind,RES,,,,,,,,,,,0.01,0.01,0.0,0.0,EMBERS,GO,
Algeria,DZA,2021,Gas,Fossil,,,,,,,,,,,84.42,84.42,53950.0,639.0665719023928,EMBERS,GO,
Algeria,DZA,2021,Hydro,RES,,,,,,,,,,,0.01,0.01,0.0,0.0,EMBERS,GO,
Algeria,DZA,2021,Other (F),Fossil,,,,,,,,,,,0.37,0.37,240.0,648.6486486486486,EMBERS,GO,
Algeria,DZA,2021,Solar,RES,,,,,,,,,,,0.79,0.79,40.0,50.63291139240506,EMBERS,GO,
Algeria,DZA,2021,Wind,RES,,,,,,,,,,,0.01,0.01,0.0,0.0,EMBERS,GO,
Algeria,DZA,2022,Gas,Fossil,,,,,,,,,,,90.22,90.22,57660.0,639.1044114387054,EMBERS,GO,
Algeria,DZA,2022,Hydro,RES,,,,,,,,,,,0.02,0.02,0.0,0.0,EMBERS,GO,
Algeria,DZA,2022,Other (F),Fossil,,,,,,,,,,,0.39,0.39,260.0,666.6666666666666,EMBERS,GO,
Algeria,DZA,2022,Solar,RES,,,,,,,,,,,0.83,0.83,40.0,48.19277108433735,EMBERS,GO,
Algeria,DZA,2022,Wind,RES,,,,,,,,,,,0.01,0.01,0.0,0.0,EMBERS,GO,
Algeria,DZA,2023,Gas,Fossil,,,,,,,,,,,95.0,95.0,60720.0,639.1578947368421,EMBERS,GO,
Algeria,DZA,2023,Hydro,RES,,,,,,,,,,,0.02,0.02,0.0,0.0,EMBERS,GO,
Algeria,DZA,2023,Other (F),Fossil,,,,,,,,,,,0.39,0.39,260.0,666.6666666666666,EMBERS,GO,
Algeria,DZA,2023,Solar,RES,,,,,,,,,,,0.87,0.87,40.0,45.97701149425287,EMBERS,GO,
Algeria,DZA,2023,Wind,RES,,,,,,,,,,,0.02,0.02,0.0,0.0,EMBERS,GO,
American Samoa,ASM,2020,Other (F),Fossil,,,,,,,,,,,0.17,0.17,110.0,647.0588235294117,EMBERS,GO,
American Samoa,ASM,2021,Other (F),Fossil,,,,,,,,,,,0.17,0.17,110.0,647.0588235294117,EMBERS,GO,
American Samoa,ASM,2022,Other (F),Fossil,,,,,,,,,,,0.17,0.17,110.0,647.0588235294117,EMBERS,GO,
American Samoa,ASM,2022,Solar,RES,,,,,,,,,,,0.01,0.01,0.0,0.0,EMBERS,GO,
American Samoa,ASM,2023,Other (F),Fossil,,,,,,,,,,,0.17,0.17,110.0,647.0588235294117,EMBERS,GO,
Angola,AGO,2020,Bio,RES,,,,,,,,,,,0.05,0.05,10.0,200.0,EMBERS,GO,
Angola,AGO,2020,Gas,Fossil,,,,,,,,,,,1.65,1.65,960.0,581.8181818181819,EMBERS,GO,
Angola,AGO,2020,Hydro,RES,,,,,,,,,,,12.64,12.64,300.0,23.734177215189874,EMBERS,GO,
Angola,AGO,2020,Other (F),Fossil,,,,,,,,,,,2.45,2.45,1610.0,657.1428571428571,EMBERS,GO,
Angola,AGO,2020,Solar,RES,,,,,,,,,,,0.02,0.02,0.0,0.0,EMBERS,GO,
Angola,AGO,2021,Bio,RES,,,,,,,,,,,0.05,0.05,10.0,200.0,EMBERS,GO,
